0.00.072.606 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.072.843 W srv  llama_server: -----------------
0.00.072.844 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.072.844 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.072.844 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.072.844 W srv  llama_server: -----------------
0.00.074.072 I srv    load_model: loading model '/home/kchauhan/models/qwen38-flash-next/AD-4.27bpw-Q4_K_M-M64/Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00001-of-00033.gguf'
0.06.716.995 I cmn          init: llama threadpool init, n_threads = 10
0.06.717.023 I common_speculative_init_result: loading draft model '/home/kchauhan/models/qwen38-flash-next/mtp-heads/agentionai-mtp-Q4_K_M.gguf'
0.11.712.435 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.11.769.875 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.11.769.884 I srv  llama_server: model loaded
0.11.769.887 I srv  llama_server: listening on http://127.0.0.1:8023
0.12.106.874 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.12.106.915 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.15.901.064 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =     61, progress = 0.94, t =   3.79 s / 16.09 tokens per second
0.23.486.991 I slot print_timing: id  0 | task 0 | prompt eval time =    4164.64 ms /    65 tokens (   64.07 ms per token,    15.61 tokens per second)
0.23.486.993 I slot print_timing: id  0 | task 0 |        eval time =    7215.38 ms /    48 tokens (  153.52 ms per token,     6.51 tokens per second)
0.23.486.994 I slot print_timing: id  0 | task 0 |       total time =   11380.02 ms /   113 tokens
0.23.486.994 I slot print_timing: id  0 | task 0 |    graphs reused =         13
0.23.486.997 I slot print_timing: id  0 | task 0 | draft acceptance = 0.88000 (   22 accepted /    25 generated), mean len =  2.47
0.23.487.027 I slot      release: id  0 | task 0 | stop processing: n_tokens = 112, truncated = 0
0.23.503.513 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.580
0.23.503.558 I slot launch_slot_: id  0 | task 29 | processing task, is_child = 0
0.29.449.840 I slot print_timing: id  0 | task 29 | prompt eval time =     362.26 ms /     4 tokens (   90.56 ms per token,    11.04 tokens per second)
0.29.449.843 I slot print_timing: id  0 | task 29 |        eval time =    5583.97 ms /    48 tokens (  118.81 ms per token,     8.42 tokens per second)
0.29.449.843 I slot print_timing: id  0 | task 29 |       total time =    5946.22 ms /    52 tokens
0.29.449.844 I slot print_timing: id  0 | task 29 |    graphs reused =         26
0.29.449.846 I slot print_timing: id  0 | task 29 | draft acceptance = 0.88000 (   22 accepted /    25 generated), mean len =  2.47
0.29.449.866 I slot      release: id  0 | task 29 | stop processing: n_tokens = 112, truncated = 0
0.29.459.902 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.712 (> 0.100 thold), f_keep = 0.420
0.29.577.748 I slot launch_slot_: id  0 | task 56 | processing task, is_child = 0
0.38.492.413 I slot print_timing: id  0 | task 56 | prompt eval time =    1312.43 ms /    24 tokens (   54.68 ms per token,    18.29 tokens per second)
0.38.492.415 I slot print_timing: id  0 | task 56 |        eval time =    7602.17 ms /    64 tokens (  120.67 ms per token,     8.29 tokens per second)
